Country Code,Longitude,Latitude,Average Cost for two,Has Table booking,Has Online delivery,Is delivering now,Price range,Aggregate rating,Votes,Restaurant Name len,Address len
14,147.9942247,-37.8783865,7,0,0,0,1,3.8,97,13,3
216,-120.3458,42.1885,10,0,0,0,1,3.6,41,21,3
216,-96.7072,40.8143,25,0,0,0,2,4.5,799,27,3
14,151.558475,-32.728097,20,0,0,0,2,3.6,18,21,4
14,144.564174,-37.423189,20,0,0,0,2,3.5,31,3,3
216,-83.594494,32.567741,25,0,0,0,2,3.9,146,19,3
216,-83.657061,32.853896,10,0,0,0,1,4.9,478,23,3
216,-83.6737,32.8496,25,0,0,0,2,4.6,467,30,3
216,-83.6766,32.8899,25,0,0,0,2,4.5,302,27,3
216,-83.6279,32.8361,25,0,0,0,2,4.5,289,7,3
216,-83.713978,32.929278,40,0,0,0,3,4.1,293,14,3
216,-83.6276,32.8375,70,0,0,0,4,4.0,195,14,3
216,-83.628703,32.83654,10,0,0,0,1,4.3,244,17,3
216,-83.787993,32.928495,70,0,0,0,4,4.2,379,9,3
216,-83.6873,32.901,10,0,0,0,1,4.2,223,37,3
216,-83.662421,32.556873,25,0,0,0,2,3.7,243,24,3
216,-83.624,32.5786,25,0,0,0,2,3.7,104,16,3
216,-83.6665,32.6184,10,0,0,0,1,3.7,153,21,3
216,-83.691044,32.552684,25,0,0,0,2,3.8,323,19,3
216,-83.64935,32.594666,10,0,0,0,1,4.1,181,33,3
216,-83.636618,32.6176839,25,0,0,0,2,4.0,316,13,3
216,-83.600201,32.619321,25,0,0,0,2,4.2,288,12,3
216,-83.665557,32.593264,10,0,0,0,1,4.0,232,11,3
216,-83.7184,32.6147,40,0,0,0,3,4.1,314,37,3
14,151.7343832,-32.899178,20,0,0,0,2,2.9,11,11,3
216,-85.7363,46.3718,10,0,0,0,1,2.4,17,19,3
14,117.917166,-35.025861,30,0,0,0,3,3.8,176,13,3
216,-89.653487,42.606306,25,0,0,0,2,3.6,65,29,3
14,152.893735,-26.690462,30,0,0,0,3,2.4,193,10,3
216,-106.057666,36.313638,40,0,0,0,3,3.6,30,23,3
216,-81.381077,28.540432,40,0,0,0,3,4.4,981,31,3
216,-81.585226,28.405437,45,0,0,0,3,4.5,1151,6,3
216,-81.514608,28.372858,35,0,0,0,3,4.7,1341,16,3
216,-81.517725,28.371338,50,0,0,0,4,4.3,782,36,3
216,-81.469986,28.440344,40,0,0,0,3,4.6,1293,17,3
216,-81.4510725,28.4676808,100,0,0,0,4,4.6,2324,15,3
216,-81.471526,28.437065,45,0,0,0,3,4.3,910,27,3
216,-81.471447,28.433235,50,0,0,0,4,4.4,886,23,3
216,-81.364347,28.560505,35,0,0,0,3,4.6,1293,25,3
216,-81.364547,28.557845,10,0,0,0,1,4.4,570,22,3
216,-81.487978,28.448175,60,0,0,0,4,4.4,1685,22,3
216,-81.266871,28.811653,40,0,0,0,3,4.8,1699,30,3
216,-81.351467,28.543571,25,0,0,0,2,4.9,1457,35,3
216,-81.522987,28.527592,35,0,0,0,3,4.9,1252,15,3
216,-81.322631,28.601088,25,0,0,0,2,4.7,1412,27,3
216,-81.357219,28.597366,25,0,0,0,2,3.6,432,8,3
216,-81.3508344,28.5976271,40,0,0,0,3,4.2,568,26,3
216,-81.352921,28.592857,25,0,0,0,2,4.4,797,19,3
216,-81.356024,28.593297,40,0,0,0,3,4.4,1998,16,3
14,145.670768,-16.748083,30,0,0,0,3,4.4,381,18,3
14,147.7227832,-37.9194154,120,0,0,0,4,2.6,16,7,2
14,140.837409,-37.379153,20,0,0,0,2,3.4,19,6,3
216,-86.8573393,30.4025979,25,0,0,0,2,4.2,635,26,3
216,-87.2027,30.4179,40,0,0,0,3,4.9,2238,29,3
216,-87.1819,30.4251,10,0,0,0,1,4.6,792,26,3
216,-87.2216,30.4982,10,0,0,0,1,4.5,828,27,3
216,-87.205855,30.417318,40,0,0,0,3,3.7,292,24,3
216,-87.213274,30.403034,25,0,0,0,2,3.9,502,30,3
216,-87.2150874,30.4116106,25,0,0,0,2,3.7,559,11,3
216,-87.2080932,30.4473322,25,0,0,0,2,4.2,1268,18,3
216,-87.2092,30.4101,40,0,0,0,3,4.1,669,11,3
216,-87.2153054,30.411878,40,0,0,0,3,4.4,900,12,3
216,-87.2252,30.4767,25,0,0,0,2,4.3,765,7,3
216,-87.211082,30.407358,40,0,0,0,3,4.0,1270,14,3
216,-87.214,30.4692,25,0,0,0,2,4.1,502,11,3
216,-87.143,30.3359,40,0,0,0,3,3.9,724,23,3
216,-87.142602,30.335521,40,0,0,0,3,3.5,479,24,3
216,-87.132932,30.334776,25,0,0,0,2,4.2,591,11,3
216,-87.164376,30.327864,40,0,0,0,3,4.4,1408,14,3
216,-87.149178,30.34262,40,0,0,0,3,4.3,905,16,3
216,-87.4218962,30.3199824,10,0,0,0,1,4.7,816,38,3
216,-87.427707,30.308468,40,0,0,0,3,4.4,747,18,3
14,145.237813,-38.448307,20,0,0,0,2,3.7,351,14,3
216,-112.3415,43.1903,10,0,0,0,1,3.7,104,13,3
216,-112.461326,42.910518,45,0,0,0,3,3.5,83,15,3
216,-112.0132,42.62,10,0,0,0,1,3.6,91,14,3
216,-112.0127,42.6192,0,0,0,0,1,3.6,59,11,3
216,-112.4423,42.8661,40,0,0,0,3,3.7,222,26,3
216,-112.4516,42.8919,30,0,0,0,3,3.6,121,11,3
216,-112.441,42.8928,10,0,0,0,1,3.5,93,12,3
216,-112.4397,42.8631,10,0,0,0,1,3.8,136,20,3
216,-112.4365,42.8604,10,0,0,0,1,3.8,160,12,3
216,-112.4524,42.8639,25,0,0,0,2,3.7,152,22,3
216,-112.459988,42.878077,10,0,0,0,1,3.5,57,21,3
216,-112.443213,42.860024,25,0,0,0,2,3.7,191,23,2
216,-112.432,42.9012,40,0,0,0,3,3.6,85,29,3
216,-112.4433,42.8942,0,0,0,0,1,3.6,108,13,3
216,-112.452013,42.88245,25,0,0,0,2,3.6,132,12,3
216,-112.45253,42.863969,25,0,0,0,2,3.8,141,20,3
216,-112.450106,42.861871,25,0,0,0,2,3.7,162,13,3
